Year,Team,League,G,RegWPct,PostSeason,W,WPct,AB,R,H,x2B,x3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
2012,Baltimore Orioles,AL,30,0.574,1,11,0.458,1004,118,239,48,3,26,110,91,234,19,8,0.238,0.307,0.37,0.676
2012,New York Mets,NL,31,0.457,0,9,0.31,1031,123,244,37,6,17,112,106,207,23,10,0.237,0.314,0.334,0.648
2012,Tampa Bay Rays,AL,32,0.556,0,10,0.385,1084,114,250,47,5,24,110,108,227,24,11,0.231,0.305,0.35,0.655
2013,Kansas City Royals,AL,34,0.531,0,25,0.781,1255,230,420,88,17,38,217,104,237,29,10,0.335,0.387,0.523,0.91
2013,Los Angeles Angels,AL,34,0.481,0,10,0.333,1180,211,354,72,20,30,197,107,216,37,16,0.3,0.358,0.471,0.829
2013,Chicago White Sox,AL,31,0.389,0,16,0.457,1101,186,329,62,15,41,176,95,208,13,8,0.299,0.36,0.494,0.854
2013,Seattle Mariners,AL,33,0.438,0,22,0.667,1172,214,340,73,11,58,202,89,277,9,4,0.29,0.345,0.52,0.865
2013,Colorado Rockies,NL,31,0.457,0,16,0.516,1082,180,313,67,10,36,169,88,183,14,11,0.289,0.343,0.47,0.812
2013,Baltimore Orioles,AL,32,0.525,0,19,0.679,1125,183,325,64,1,49,169,104,237,25,12,0.289,0.35,0.478,0.829
2013,Oakland Athletics,AL,33,0.593,1,17,0.567,1135,203,326,71,9,37,187,134,223,17,6,0.287,0.367,0.463,0.83
2013,Atlanta Braves,NL,35,0.593,1,20,0.571,1207,183,344,61,4,49,173,73,252,15,18,0.285,0.331,0.464,0.795
2013,Minnesota Twins,AL,33,0.407,0,17,0.515,1167,172,332,72,6,27,161,117,251,24,7,0.284,0.351,0.426,0.777
2013,Cleveland Indians,AL,35,0.568,1,17,0.515,1239,192,350,78,9,40,179,136,236,30,10,0.282,0.357,0.457,0.814
2013,San Diego Padres,NL,36,0.469,0,16,0.444,1224,186,345,73,11,43,175,100,266,21,16,0.282,0.341,0.465,0.806
2013,San Francisco Giants,NL,35,0.469,0,16,0.516,1231,184,346,71,22,34,175,87,266,29,10,0.281,0.331,0.457,0.789
2013,Texas Rangers,AL,36,0.558,0,17,0.5,1242,190,349,70,15,32,183,121,252,31,15,0.281,0.345,0.439,0.784
2013,Arizona Diamondbacks,NL,35,0.5,0,16,0.485,1213,187,340,52,10,32,170,103,233,36,14,0.28,0.338,0.419,0.757
2013,Los Angeles Dodgers,NL,36,0.568,1,13,0.394,1228,180,344,63,9,26,166,113,239,37,13,0.28,0.346,0.41,0.755
2013,St. Louis Cardinals,NL,32,0.599,1,16,0.516,1084,164,303,69,4,26,158,111,173,22,9,0.28,0.349,0.423,0.772
2013,Philadelphia Phillies,NL,34,0.451,0,16,0.485,1185,186,324,69,8,40,178,82,248,24,9,0.273,0.326,0.446,0.772
2013,Washington Nationals,NL,34,0.531,0,14,0.438,1184,163,322,59,2,35,150,78,261,20,5,0.272,0.32,0.414,0.734
2013,Cincinnati Reds,NL,35,0.556,1,13,0.394,1207,182,327,84,11,37,173,110,257,25,7,0.271,0.335,0.451,0.786
2013,Toronto Blue Jays,AL,34,0.457,0,16,0.485,1165,169,315,69,4,45,160,113,250,25,12,0.27,0.338,0.452,0.79
2013,Houston Astros,AL,35,0.315,0,15,0.484,1172,189,315,74,9,47,178,118,289,30,13,0.269,0.342,0.468,0.81
2013,Boston Red Sox,AL,35,0.599,1,17,0.5,1193,165,319,65,9,17,150,121,248,15,8,0.267,0.343,0.38,0.722
2013,Miami Marlins,NL,31,0.383,0,13,0.448,1021,143,270,51,8,24,137,78,177,15,5,0.264,0.32,0.401,0.721
2013,Chicago Cubs,NL,37,0.407,0,16,0.457,1271,181,332,69,15,47,172,93,276,18,5,0.261,0.313,0.45,0.763
2013,Pittsburgh Pirates,NL,32,0.58,1,13,0.419,1069,138,277,58,6,23,131,109,222,16,12,0.259,0.331,0.389,0.721
2013,Detroit Tigers,AL,35,0.574,1,19,0.576,1187,174,307,66,13,37,166,127,238,17,8,0.259,0.332,0.43,0.761
2013,Milwaukee Brewers,NL,33,0.457,0,13,0.419,1096,120,280,60,8,25,111,83,233,27,8,0.255,0.311,0.393,0.704
2013,Tampa Bay Rays,AL,34,0.564,1,15,0.469,1137,149,284,69,6,27,139,110,231,29,14,0.25,0.321,0.392,0.713
2013,New York Yankees,AL,33,0.525,0,14,0.438,1129,140,282,52,10,23,127,95,196,30,9,0.25,0.313,0.375,0.688
2013,New York Mets,NL,33,0.457,0,15,0.5,1100,151,274,56,7,31,140,116,271,15,8,0.249,0.328,0.397,0.726
