Year,Team,League,G,RegWPct,PostSeason,W,WPct,AB,R,H,x2B,x3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
2007,New York Yankees,AL,30,0.58,1,14,0.519,1014,123,270,44,5,27,120,78,182,17,3,0.266,0.323,0.399,0.723
2006,Los Angeles Dodgers,NL,33,0.543,1,15,0.517,1131,155,295,53,7,34,147,98,181,15,8,0.261,0.323,0.41,0.733
2006,St. Louis Cardinals,NL,30,0.516,1,15,0.517,1019,146,265,53,3,21,138,101,173,16,3,0.26,0.334,0.38,0.714
2008,Cleveland Indians,AL,32,0.5,0,15,0.517,1061,175,286,60,7,43,171,129,189,10,11,0.27,0.352,0.461,0.813
2008,Detroit Tigers,AL,32,0.457,0,15,0.517,1148,171,334,71,11,44,166,112,202,9,8,0.291,0.356,0.487,0.842
2006,Chicago Cubs,NL,31,0.407,0,14,0.517,1088,176,316,76,8,29,165,87,166,20,15,0.29,0.345,0.455,0.8
2007,Los Angeles Dodgers,NL,34,0.506,0,17,0.515,1175,138,328,65,2,21,127,79,181,21,12,0.279,0.327,0.391,0.719
2008,Chicago Cubs,NL,32,0.602,1,15,0.5,1140,174,333,71,14,31,164,99,200,24,13,0.292,0.348,0.461,0.808
2008,Minnesota Twins,AL,30,0.54,0,15,0.5,1032,132,269,57,4,20,121,90,150,34,7,0.261,0.323,0.382,0.705
2008,Atlanta Braves,NL,32,0.444,0,15,0.5,1091,173,292,67,6,17,163,93,173,11,3,0.268,0.328,0.387,0.715
2009,Chicago Cubs,NL,38,0.516,0,18,0.5,1361,246,416,81,14,42,239,136,244,17,10,0.306,0.37,0.478,0.848
2009,Colorado Rockies,NL,35,0.568,1,17,0.5,1218,219,359,82,19,37,206,120,204,44,22,0.295,0.361,0.484,0.846
2009,Oakland Athletics,AL,37,0.463,0,17,0.486,1295,212,361,70,19,28,196,130,248,25,8,0.279,0.353,0.427,0.78
2006,New York Yankees,AL,32,0.599,1,15,0.484,1103,164,318,66,6,32,146,96,157,25,12,0.288,0.348,0.446,0.794
2009,Tampa Bay Rays,AL,32,0.519,0,15,0.484,1087,167,285,68,9,28,161,120,220,47,14,0.262,0.341,0.419,0.759
2009,Seattle Mariners,AL,37,0.525,0,16,0.471,1358,249,424,90,13,47,235,105,268,22,16,0.312,0.361,0.501,0.862
2006,Oakland Athletics,AL,32,0.574,1,15,0.469,1122,201,315,68,7,34,190,124,190,17,5,0.281,0.355,0.445,0.8
2007,San Francisco Giants,NL,34,0.438,0,15,0.469,1188,190,345,69,15,31,182,102,208,18,6,0.29,0.351,0.452,0.803
2006,Pittsburgh Pirates,NL,33,0.414,0,15,0.469,1126,175,320,66,4,47,167,104,236,20,6,0.284,0.353,0.475,0.828
2009,Detroit Tigers,AL,33,0.528,0,15,0.469,1089,141,264,51,7,37,132,112,233,15,5,0.242,0.319,0.404,0.723
2009,Washington Nationals,NL,34,0.364,0,15,0.469,1135,144,275,57,11,28,134,110,211,15,7,0.242,0.315,0.386,0.701
2007,Toronto Blue Jays,AL,30,0.512,0,12,0.462,1003,125,236,46,8,22,119,90,210,13,8,0.235,0.302,0.363,0.665
2008,San Diego Padres,NL,30,0.389,0,12,0.462,1071,173,312,71,9,34,163,105,209,10,9,0.291,0.357,0.47,0.827
2007,Minnesota Twins,AL,32,0.488,0,14,0.452,1095,145,295,48,4,20,134,86,159,19,7,0.269,0.328,0.375,0.704
2006,Milwaukee Brewers,NL,31,0.463,0,14,0.452,1064,199,314,81,11,33,188,128,187,24,15,0.295,0.38,0.485,0.865
2008,Toronto Blue Jays,AL,29,0.531,0,13,0.448,941,112,247,66,5,15,109,81,159,19,10,0.262,0.328,0.391,0.719
2006,Tampa Bay Devil Rays,AL,30,0.377,0,13,0.448,1026,158,295,74,7,28,145,80,171,47,17,0.288,0.343,0.455,0.799
2008,Seattle Mariners,AL,32,0.377,0,13,0.448,1132,169,326,71,2,28,158,84,184,24,12,0.288,0.338,0.428,0.767
2009,Chicago White Sox,AL,37,0.488,0,16,0.444,1291,176,365,73,8,40,170,106,228,26,13,0.283,0.34,0.445,0.784
2007,Milwaukee Brewers,NL,30,0.512,0,13,0.433,1083,193,339,73,4,33,185,93,193,24,13,0.313,0.37,0.479,0.85
2006,San Francisco Giants,NL,31,0.472,0,13,0.433,1099,189,335,81,9,37,182,99,176,16,5,0.305,0.369,0.496,0.864
2007,Florida Marlins,NL,33,0.438,0,13,0.433,1093,111,242,57,7,15,101,83,224,25,12,0.221,0.282,0.328,0.61
2006,Baltimore Orioles,AL,30,0.432,0,13,0.433,1029,127,268,65,6,14,117,72,142,22,5,0.26,0.315,0.376,0.691
2008,Pittsburgh Pirates,NL,30,0.414,0,13,0.433,1034,150,283,65,6,18,137,107,191,16,7,0.274,0.346,0.4,0.747
2009,Toronto Blue Jays,AL,33,0.463,0,13,0.433,1143,157,304,80,8,30,149,90,207,11,7,0.266,0.324,0.429,0.752
